"Word","Count","Gender"
"employ",109,"Male"
"job",109,"Male"
"interview",81,"Male"
"work",81,"Male"
"affect",74,"Male"
"feel",72,"Male"
"stigma",70,"Male"
"get",68,"Male"
"want",65,"Male"
"hire",64,"Male"
"depend",61,"Male"
"bring",54,"Male"
"know",51,"Male"
"like",51,"Male"
"negat",48,"Male"
"physic",48,"Male"
"reason",45,"Male"
"might",43,"Male"
"impact",41,"Male"
"think",36,"Male"
"need",35,"Male"
"may",34,"Male"
"discuss",33,"Male"
"fear",33,"Male"
"potenti",33,"Male"
"chanc",31,"Male"
"perform",31,"Male"
"relev",30,"Male"
"person",29,"Male"
"posit",27,"Male"
"see",27,"Male"
"abil",26,"Male"
"peopl",25,"Male"
"one",24,"Male"
"can",23,"Male"
"discrimin",22,"Male"
"make",22,"Male"
"will",22,"Male"
"busi",21,"Male"
"even",20,"Male"
"risk",20,"Male"
"seem",20,"Male"
"someon",20,"Male"
"understand",20,"Male"
"afraid",19,"Male"
"candid",19,"Male"
"time",19,"Male"
"bias",18,"Male"
"probabl",18,"Male"
"problem",18,"Male"
"thing",18,"Male"
"way",18,"Male"
"comfort",17,"Male"
"compani",17,"Male"
"worri",17,"Male"
"believ",16,"Male"
"effect",16,"Male"
"still",16,"Male"
"whether",16,"Male"
"concern",15,"Male"
"decis",15,"Male"
"enough",15,"Male"
"ill",15,"Male"
"sure",15,"Male"
"unless",15,"Male"
"less",14,"Male"
"look",14,"Male"
"made",14,"Male"
"consid",13,"Male"
"depress",13,"Male"
"direct",13,"Male"
"expect",13,"Male"
"felt",13,"Male"
"just",13,"Male"
"open",13,"Male"
"take",13,"Male"
"talk",13,"Male"
"also",12,"Male"
"around",12,"Male"
"certain",12,"Male"
"much",12,"Male"
"process",12,"Male"
"trust",12,"Male"
"general",11,"Male"
"mani",11,"Male"
"none",11,"Male"
"protect",11,"Male"
"requir",11,"Male"
"awar",10,"Male"
"come",10,"Male"
"offer",10,"Male"
"outcom",10,"Male"
"privat",10,"Male"
"realli",10,"Male"
"uncomfort",10,"Male"
"accommod",9,"Male"
"answer",9,"Male"
"avoid",9,"Male"
"disclos",9,"Male"
"employe",9,"Male"
"give",9,"Male"
"good",9,"Male"
"import",9,"Male"
"keep",9,"Male"
"legal",9,"Male"
"lot",9,"Male"
"mention",9,"Male"
"never",9,"Male"
"relat",9,"Male"
"stress",9,"Male"
"support",9,"Male"
"though",9,"Male"
"view",9,"Male"
"weak",9,"Male"
"well",9,"Male"
"anxieti",8,"Male"
"applic",8,"Male"
"ask",8,"Male"
"condit",8,"Male"
"current",8,"Male"
"deal",8,"Male"
"difficult",8,"Male"
"disord",8,"Male"
"etc",8,"Male"
"front",8,"Male"
"help",8,"Male"
"honest",8,"Male"
"hurt",8,"Male"
"immedi",8,"Male"
"let",8,"Male"
"place",8,"Male"
"point",8,"Male"
"possibl",8,"Male"
"prospect",8,"Male"
"question",8,"Male"
"rather",8,"Male"
"serious",8,"Male"
"sever",8,"Male"
"someth",8,"Male"
"stigmat",8,"Male"
"best",7,"Male"
"better",7,"Male"
"day",7,"Male"
"especi",7,"Male"
"first",7,"Male"
"life",7,"Male"
"part",7,"Male"
"perceiv",7,"Male"
"seen",7,"Male"
"share",7,"Male"
"thought",7,"Male"
"tri",7,"Male"
"abl",6,"Male"
"accept",6,"Male"
"although",6,"Male"
"base",6,"Male"
"bit",6,"Male"
"clear",6,"Male"
"convers",6,"Male"
"definit",6,"Male"
"disqualifi",6,"Male"
"done",6,"Male"
"end",6,"Male"
"ever",6,"Male"
"explain",6,"Male"
"hard",6,"Male"
"howev",6,"Male"
"influenc",6,"Male"
"inform",6,"Male"
"limit",6,"Male"
"mind",6,"Male"
"opinion",6,"Male"
"otherwis",6,"Male"
"product",6,"Male"
"react",6,"Male"
"reaction",6,"Male"
"respons",6,"Male"
"say",6,"Male"
"situat",6,"Male"
"taboo",6,"Male"
"team",6,"Male"
"without",6,"Male"
"year",6,"Male"
"add",5,"Male"
"adhd",5,"Male"
"allow",5,"Male"
"almost",5,"Male"
"associ",5,"Male"
"assum",5,"Male"
"attach",5,"Male"
"case",5,"Male"
"caus",5,"Male"
"crazi",5,"Male"
"cultur",5,"Male"
"disabl",5,"Male"
"due",5,"Male"
"experi",5,"Male"
"find",5,"Male"
"got",5,"Male"
"great",5,"Male"
"hide",5,"Male"
"honesti",5,"Male"
"hour",5,"Male"
"illeg",5,"Male"
"law",5,"Male"
"lead",5,"Male"
"least",5,"Male"
"leav",5,"Male"
"littl",5,"Male"
"mean",5,"Male"
"most",5,"Male"
"natur",5,"Male"
"parti",5,"Male"
"prevent",5,"Male"
"privaci",5,"Male"
"reduc",5,"Male"
"reject",5,"Male"
"result",5,"Male"
"said",5,"Male"
"suffer",5,"Male"
"topic",5,"Male"
"toward",5,"Male"
"troubl",5,"Male"
"type",5,"Male"
"understood",5,"Male"
"workplac",5,"Male"
"wors",5,"Male"
"yes",5,"Male"
"anoth",4,"Male"
"anyth",4,"Male"
"anyway",4,"Male"
"appear",4,"Male"
"appropri",4,"Male"
"attitud",4,"Male"
"avail",4,"Male"
"bad",4,"Male"
"bear",4,"Male"
"call",4,"Male"
"career",4,"Male"
"choos",4,"Male"
"confid",4,"Male"
"consequ",4,"Male"
"determin",4,"Male"
"differ",4,"Male"
"doubt",4,"Male"
"embarrass",4,"Male"
"ensur",4,"Male"
"excus",4,"Male"
"fair",4,"Male"
"far",4,"Male"
"fit",4,"Male"
"high",4,"Male"
"hinder",4,"Male"
"jeopard",4,"Male"
"kind",4,"Male"
"knowledg",4,"Male"
"later",4,"Male"
"lose",4,"Male"
"manag",4,"Male"
"new",4,"Male"
"nobodi",4,"Male"
"obvious",4,"Male"
"often",4,"Male"
"option",4,"Male"
"percept",4,"Male"
"polici",4,"Male"
"prejudic",4,"Male"
"previous",4,"Male"
"reluct",4,"Male"
"respect",4,"Male"
"schedul",4,"Male"
"select",4,"Male"
"set",4,"Male"
"sinc",4,"Male"
"social",4,"Male"
"stanc",4,"Male"
"state",4,"Male"
"tech",4,"Male"
"transpar",4,"Male"
"treat",4,"Male"
"turn",4,"Male"
"upon",4,"Male"
"use",4,"Male"
"usual",4,"Male"
"valu",4,"Male"
"—",3,"Male"
"actual",3,"Male"
"address",3,"Male"
"adult",3,"Male"
"alreadi",3,"Male"
"amount",3,"Male"
"anyon",3,"Male"
"appli",3,"Male"
"area",3,"Male"
"away",3,"Male"
"balanc",3,"Male"
"becom",3,"Male"
"benefit",3,"Male"
"big",3,"Male"
"brought",3,"Male"
"capabl",3,"Male"
"capac",3,"Male"
"chang",3,"Male"
"chronic",3,"Male"
"circumst",3,"Male"
"close",3,"Male"
"compel",3,"Male"
"conscious",3,"Male"
"disclosur",3,"Male"
"earli",3,"Male"
"entir",3,"Male"
"equal",3,"Male"
"everyon",3,"Male"
"experienc",3,"Male"
"fact",3,"Male"
"hand",3,"Male"
"harm",3,"Male"
"hear",3,"Male"
"hesit",3,"Male"
"huge",3,"Male"
"ignor",3,"Male"
"imagin",3,"Male"
"individu",3,"Male"
"industri",3,"Male"
"instabl",3,"Male"
"joke",3,"Male"
"judg",3,"Male"
"knew",3,"Male"
"lack",3,"Male"
"light",3,"Male"
"main",3,"Male"
"mark",3,"Male"
"met",3,"Male"
"method",3,"Male"
